scenario,n,kernel,mae,rmse,r2,rmse_log,r2_log
a1,40,inverse_multiquadric,5665.508553894496,10940.642062129698,0.8484260206642766,0.0574171145890812,0.8408719957778706
a1,80,gaussian,8884.080381113723,14356.244235024933,0.7390118978557134,0.0756506015242118,0.7237586680869114
a1,80,multiquadric,6364.610061434326,11864.558895638706,0.8217447925151582,0.06214159286998735,0.8136074067210911
a1,80,inverse_multiquadric,5239.496229457229,10367.56064020578,0.863889320689146,0.053745709231097956,0.8605715226591377
a1_a2,5,gaussian,25290.857825836094,32067.81792371247,0.4722851026963699,0.16452061217579766,0.4139091000808093
a1_a2,5,multiquadric,24034.246460780225,30798.0411839877,0.5132491405114334,0.15914543016189192,0.45158075133153175
a1_a2,5,inverse_multiquadric,25597.14222992492,32449.638306679408,0.4596436529943744,0.16626897303033578,0.4013861327901407
a1_a2,10,gaussian,16362.709854773897,22967.26450589133,0.7293057190651384,0.12045653733164581,0.6858152552914312
a1_a2,10,multiquadric,15606.818184065314,21983.88576064802,0.7519898509167824,0.1176029934285685,0.7005246389816194
a1_a2,10,inverse_multiquadric,17576.492585409058,24202.235935965447,0.6994120843225403,0.1257951344316657,0.6573489778159731
a1_a2,20,gaussian,11738.388969551514,16772.665761222383,0.855634067140758,0.08602378634401206,0.8397634990192117
a1_a2,20,multiquadric,9809.132426559345,15309.585485382358,0.87972166695957,0.08032392181101747,0.8602942908909452
a1_a2,20,inverse_multiquadric,10939.991385586582,16388.33002814209,0.8621743851275723,0.08587277788493569,0.8403255721396463
a1_a2,40,gaussian,11379.55557701297,18397.059892364865,0.8263169725298385,0.0986966615839641,0.7890744110686551
a1_a2,40,multiquadric,10788.766849012698,18343.46953545766,0.8273273708042408,0.09479518404014342,0.805420585284896
a1_a2,40,inverse_multiquadric,10082.939590634898,18209.897830238384,0.8298329169040706,0.09389987373988967,0.8090787095228092
a1_a2,80,gaussian,8625.995131681504,14931.5664080878,0.8855880792722907,0.07638975326983011,0.8736443811282122
a1_a2,80,multiquadric,5724.529586210398,10829.949677661012,0.9398115147670987,0.0527464505305818,0.9397564127310805
a1_a2,80,inverse_multiquadric,5000.503514736556,9673.101108309149,0.951983335223046,0.05525428912143393,0.9338916471809371
a1_d1,5,gaussian,68384.36946752881,89870.47501490386,0.38226137687662176,0.41925294627723914,0.49270471445892583
a1_d1,5,multiquadric,66696.39379244782,88651.70955192136,0.3989025145226075,0.4102980234503454,0.5141441576781185
a1_d1,5,inverse_multiquadric,68728.4408503944,91223.89595994288,0.3635153806290725,0.41479353928291346,0.5034390692917232
a1_d1,10,gaussian,38943.63478763186,52132.18773400553,0.792134419504664,0.253394247836769,0.8146886227781858
a1_d1,10,multiquadric,38008.51704014536,52890.35927558748,0.786044371627239,0.2513205755266595,0.8177092335608249
a1_d1,10,inverse_multiquadric,37757.752314448764,51600.269779166796,0.7963545900146315,0.24709686854518226,0.8237849233968375
a1_d1,20,gaussian,32585.800558374016,49489.57929762403,0.8126739371731475,0.2121447768243052,0.8701107327315027
a1_d1,20,multiquadric,32339.95468199744,50195.2312330804,0.8072938389296447,0.211749568334796,0.8705942282666337
a1_d1,20,inverse_multiquadric,30604.464020585296,49060.543941258424,0.815907795103025,0.20277017061501593,0.8813366204535934
a1_d1,40,gaussian,25348.855271662316,40365.814437083885,0.8753770233667924,0.14580968683672413,0.9386405675135209
a1_d1,40,multiquadric,21616.590432098037,35972.127995464005,0.9010301432914236,0.1369956302416503,0.9458345932142068
a1_d1,40,inverse_multiquadric,21257.353516881194,34620.770536122945,0.9083264308001815,0.13465729835608914,0.9476678745747981
a1_d1,80,gaussian,18438.65952544713,33976.45514216823,0.9117068903269011,0.1293530008056996,0.9517095117847177
a1_d1,80,multiquadric,13902.385183043918,27664.84643564191,0.941463438345812,0.10779279013307527,0.9664657956384276
a1_d1,80,inverse_multiquadric,13934.133189645372,27542.670957614806,0.9419793234003057,0.10898131942937674,0.9657222187513844
a2,5,gaussian,810.8897486476798,1034.1085199582174,0.9995087671250971,0.005730458950939825,0.9992621153649862
a2,5,multiquadric,1036.5518811738334,1269.5818944096643,0.9992595825738924,0.0068859391396662575,0.9989345427836572
a2,5,inverse_multiquadric,1096.628189365259,1273.7604524201643,0.999254700701208,0.006649182127256049,0.9990065497737247
a2,10,gaussian,348.89659448989664,431.17997734525073,0.9999145971504294,0.002218195521287289,0.9998894371300323
a2,10,multiquadric,246.3981422907044,302.5305740172966,0.999957956996514,0.0015945776208416633,0.9999428651640561
a2,10,inverse_multiquadric,223.8752487435518,271.2050957192767,0.9999662129027708,0.0013979476613149649,0.9999560871646813
a2,20,gaussian,354.0835842672916,413.43298459098844,0.9999214826856647,0.0019995895696743576,0.9999101555238649
